feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F3,A3,7,4,91,7.73,10,0.0,0.3131174833432615,0.5214881924131871,0.5169390666076163,0.4809336567215289,0.5835240274599542,0.8862930536270142,0.340167865623871,55687.91015625,10.0,0.8809524774551392,,,,0.0,2.0
F3,A3,42,4,91,7.59,10,0.0,0.3316496570339555,0.5380932962639942,0.533646690117327,0.5044353761998557,0.6031042128603105,0.8201566934585571,0.5564337470162913,11076.4951171875,10.0,0.8168824911117554,,,,0.0,2.0
F3,A3,2026,4,91,7.5,9,0.0,0.3322472476947334,0.5263794314670753,0.5223377977681307,0.5122762332027155,0.6044444444444445,0.9073874950408936,0.2307232333165771,86273.1875,9.0,0.9019883275032043,,,,0.0,2.0
F4,A1,7,5,22,0.45,10,0.0,0.44949744406981956,0.5812469312533233,0.5769228964846574,0.41335620810387497,0.5375128468653648,0.9654534118105053,0.22287755276337276,13965.637290897555,10.0,0.9565939208059054,,,,0.0,
F4,A1,42,5,22,0.46,10,0.0,0.44949744406981956,0.5812469312533233,0.5769228964846574,0.41335620810387497,0.5375128468653648,0.9654534118105053,0.2228775527633728,13965.637290897552,10.0,0.9565939208059054,,,,0.0,
F4,A1,2026,5,22,0.46,10,0.0,0.44949744406981956,0.5812469312533234,0.5769228964846576,0.41335620810387497,0.5375128468653648,0.9654534118105053,0.2228775527633728,13965.637290897552,10.0,0.9565939208059054,,,,0.0,
F4,A2,7,5,22,111.46,19,0.29777777777777775,0.08208818918709627,0.22160721953261733,0.2080846823025449,0.24106486471718158,0.536144578313253,0.42121225595474243,0.9716147780293105,176.81565856933594,,0.4302704334259033,15.0,100.0,25.0,0.0,
F4,A2,42,5,22,112.52,19,0.0791111111111111,0.10826919134609461,0.24767521562443162,0.2356188891583849,0.2993724846490807,0.48588709677419356,0.45778191089630127,1.058159403010699,191.84620666503906,,0.48480936884880066,15.0,100.0,25.0,0.0,
F4,A2,2026,5,22,110.05,7,0.4151111111111111,0.14753969560911098,0.2888176114658788,0.2835206107587913,0.3209984549277956,0.5217391304347826,0.5886181592941284,0.8578370541027315,447.6949462890625,,0.6030680537223816,50.0,250.0,5.0,0.0,
F4,A3,7,5,22,7.63,7,0.0,0.4478763291184373,0.5608621191352273,0.5578031756057866,0.4121835722107871,0.5135658914728682,0.9629071354866028,0.10608269257133947,93064.6796875,7.0,0.968148410320282,,,,0.0,4.0
F4,A3,42,5,22,7.41,7,0.0,0.4478763291184373,0.5608621191352273,0.5578031756057866,0.4121835722107871,0.5135658914728682,0.9775710701942444,0.08958947052290331,154021.453125,7.0,0.979892373085022,,,,0.0,4.0
F4,A3,2026,5,22,7.78,9,0.0,0.44835371276756925,0.5613120313170904,0.5573379697421226,0.41014849648575186,0.5131195335276968,0.9769189357757568,0.05538116805666024,244629.734375,9.0,0.9829759001731873,,,,0.0,2.0
F6,A1,7,9,443,0.51,4,0.0,0.4842465696469736,0.6355628805087357,0.6341319377089353,0.4103725933685448,0.5164444444444445,0.5651616093702401,0.7475445943054546,982.6882743080074,4.0,0.563941476451027,,,,0.0,
F6,A1,42,9,443,0.51,4,0.0,0.4842465696469736,0.6355628805087357,0.6341319377089353,0.4103725933685448,0.5164444444444445,0.5651616093702401,0.7475445943054546,982.6882743080074,4.0,0.563941476451027,,,,0.0,
F6,A1,2026,9,443,0.51,4,0.0,0.4842465696469736,0.6355628805087357,0.6341319377089353,0.4103725933685448,0.5164444444444445,0.5651616093702401,0.7475445943054546,982.6882743080074,4.0,0.563941476451027,,,,0.0,
F6,A2,7,9,443,81.16,20,0.2248888888888889,0.1267065714540796,0.3589325357451486,0.34806379510541635,0.29607443609416295,0.7781954887218046,0.7436743378639221,0.5296807765717546,995.1160888671875,,0.7401624917984009,50.0,100.0,25.0,0.0,
F6,A2,42,9,443,81.09,2,0.26755555555555555,0.12334940351617595,0.24050971289070433,0.23828607639325916,0.1664883043413086,0.3434466019417476,0.29024645686149597,0.8249463814024629,194.2379150390625,,0.3047320544719696,50.0,250.0,25.0,0.0,
F6,A2,2026,9,443,94.01,16,0.43644444444444447,0.05303115246813211,0.26919241937075017,0.2577465608890529,0.29469332038294016,0.7037037037037037,0.501973569393158,0.9649524058745178,258.9095764160156,,0.5252537131309509,15.0,100.0,25.0,0.0,
F6,A3,7,9,443,19.17,10,0.0,0.4110371781253517,0.5789695931943142,0.5752062297729621,0.6233615458483814,0.7323943661971831,0.718725323677063,0.5186512211559576,2488.4130859375,10.0,0.7112715840339661,,,,0.0,2.0
F6,A3,42,9,443,19.18,10,0.0,0.4229290013053044,0.5831925892130204,0.5794182611860983,0.6364424451973664,0.726457399103139,0.7469381093978882,0.44607226144482404,3777.71826171875,10.0,0.7346717715263367,,,,0.0,2.0
F6,A3,2026,9,443,19.14,10,0.0,0.38610726381600924,0.5550846011593611,0.5510672041752046,0.6072805856430198,0.7142857142857143,0.7511244416236877,0.43581559829623373,3650.985595703125,10.0,0.736929714679718,,,,0.0,2.0
F7,A1,7,9,268,0.6,8,0.0,0.4177439295042636,0.5769956451871489,0.5738743453110328,0.6260791208168986,0.6903023983315955,0.5887888435920017,0.789507024223868,1234.210019434823,8.0,0.5981842391197578,,,,0.0,
F7,A1,42,9,268,0.62,8,0.0,0.4177439295042636,0.5769956451871489,0.5738743453110328,0.6260791208168986,0.6903023983315955,0.5887888435920017,0.789507024223868,1234.210019434823,8.0,0.5981842391197578,,,,0.0,
F7,A1,2026,9,268,0.59,8,0.0,0.4177439295042636,0.5769956451871489,0.5738743453110328,0.6260791208168986,0.6903023983315955,0.5887888435920017,0.789507024223868,1234.2100194348232,8.0,0.5981842391197578,,,,0.0,
F7,A2,7,9,268,145.03,14,0.37333333333333335,0.10118421522183327,0.2789333760153542,0.2691192090635276,0.36657596103286477,0.7113924050632912,0.4147322475910187,1.0986210722599143,175.43946838378906,,0.42420583963394165,15.0,100.0,5.0,0.07377777777777778,
F7,A2,42,9,268,138.28,18,0.39911111111111114,0.08743094857808667,0.3448588573089101,0.3335777594748952,0.3074297172341111,0.7138263665594855,0.5378894805908203,0.8972236495950638,230.25582885742188,,0.5814213156700134,15.0,100.0,25.0,0.0,
F7,A2,2026,9,268,100.54,8,0.4444444444444444,0.1133152858185055,0.27943073927644174,0.2733229808997747,0.3645863432291649,0.6987654320987654,0.5769438743591309,0.8601398687736348,447.2211608886719,,0.5952078104019165,50.0,250.0,5.0,0.012444444444444444,
F7,A3,7,9,268,12.93,10,0.0,0.4647856450042216,0.6312818348623811,0.6279430969322697,0.6315320296092798,0.7553956834532374,0.7556812167167664,0.3455648540699932,9034.51171875,10.0,0.7669756412506104,,,,0.0,2.0
F7,A3,42,9,268,12.88,7,0.0,0.5030616580467788,0.6533005707519428,0.6509622865482673,0.5650478701936725,0.6335650446871897,0.7655412554740906,0.4005553374681021,6412.82568359375,7.0,0.7619233131408691,,,,0.0,2.0
F7,A3,2026,9,268,12.62,10,0.0,0.4698840811778413,0.6335749539045719,0.6302773577702834,0.6250800549161288,0.740521327014218,0.7433590292930603,0.38244302633807203,8271.14453125,10.0,0.7586957216262817,,,,0.0,2.0
F11,A1,7,14,723,0.55,4,0.0,0.48473876130119564,0.634052078074247,0.6326179261346182,0.4116138280781487,0.5173333333333333,0.5384947514292356,1.0056088691913474,823.6422686711096,4.0,0.5307293978325569,,,,0.0,
F11,A1,42,14,723,0.53,4,0.0,0.48473876130119564,0.634052078074247,0.6326179261346181,0.4116138280781487,0.5173333333333333,0.5384947514292356,1.0056088691913474,823.6422686711096,4.0,0.5307293978325569,,,,0.0,
F11,A1,2026,14,723,0.56,4,0.0,0.483111412898531,0.6326765630725868,0.631236420468672,0.4107362114110584,0.5164444444444445,0.5385074140955144,1.0021569266919461,823.6283799603854,4.0,0.5307293978325569,,,,0.0,
F11,A2,7,14,723,77.06,16,0.3928888888888889,0.07169476780729082,0.28382085202118856,0.27271504484271664,0.2906156331978843,0.6604938271604939,0.5701228976249695,0.8029122211278972,450.6105651855469,,0.5876885056495667,15.0,100.0,25.0,0.0044444444444444444,
F11,A2,42,14,723,76.78,20,0.35288888888888886,0.11304961978253039,0.31930927021041655,0.307048197589319,0.2633664063787113,0.8119266055045872,0.8269617557525635,0.4047501272213639,2094.10986328125,,0.8137974143028259,50.0,100.0,25.0,0.0008888888888888889,
F11,A2,2026,14,723,78.51,19,0.3671111111111111,0.06843095225612246,0.30173301051982543,0.28955719797010965,0.26390569409283826,0.7022900763358778,0.5787645578384399,0.7965510573939403,386.1675720214844,,0.5838084816932678,15.0,100.0,25.0,0.0044444444444444444,
F11,A3,7,14,723,12.84,5,0.0,0.45840835511312017,0.6002758438457584,0.5983762598028911,0.5423008513170771,0.584,0.6636562347412109,0.6235768301278246,2256.181640625,5.0,0.6557444930076599,,,,0.0,2.0
F11,A3,42,14,723,12.86,5,0.0,0.43657888882549833,0.5579117980662676,0.5558173734842263,0.5332899686975366,0.5768888888888889,0.6722463369369507,0.593679014685893,2418.579833984375,5.0,0.6563461422920227,,,,0.0,2.0
F11,A3,2026,14,723,13.14,10,0.0,0.3829529285578542,0.52487388076518,0.5202953801147282,0.4595554108155774,0.5767955801104973,0.7065510153770447,0.5667715447849788,1785.54443359375,10.0,0.6837627291679382,,,,0.0,8.0
F13,A1,7,14,3211,0.59,3,0.0,0.5153630546010856,0.6579791304980014,0.6570533491995915,0.43284140239950386,0.5591111111111111,0.4306089164100993,1.0970847657437595,794.3669080331456,3.0,0.4375796231591816,,,,0.0,
F13,A1,42,14,3211,0.59,3,0.0,0.5153630546010856,0.6579791304980014,0.6570533491995915,0.43284140239950386,0.5591111111111111,0.4306089164100993,1.0970847657437595,794.3669080331456,3.0,0.4375796231591816,,,,0.0,
F13,A1,2026,14,3211,0.59,3,0.0,0.5153630546010856,0.6579791304980014,0.6570533491995915,0.43284140239950386,0.5591111111111111,0.4306089164100993,1.0970847657437595,794.3669080331456,3.0,0.4375796231591816,,,,0.0,
F13,A2,7,14,3211,25.0,11,0.05688888888888889,0.21728980219201122,0.3686322742842972,0.36234061350417485,0.44595814906417985,0.638752052545156,0.6479963660240173,0.6745963335868611,865.8726806640625,,0.6554148197174072,50.0,250.0,25.0,0.0,
F13,A2,42,14,3211,25.13,18,0.19733333333333333,0.15430901585347678,0.3367740188248636,0.326484792356462,0.34478780366069206,0.65625,0.6244430541992188,0.5907769228143678,648.294921875,,0.6354485750198364,15.0,100.0,25.0,0.0008888888888888889,
F13,A2,2026,14,3211,24.81,19,0.2986666666666667,0.10856563474948495,0.31625200537847964,0.30472830570652437,0.2754208298442974,0.8325991189427313,0.6319823861122131,0.5397392602015401,714.556884765625,,0.6303940415382385,15.0,100.0,25.0,0.0,
