feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F7,A1,42,9,268,0.07,5,0.0,0.4458992453126901,0.5850191456681962,0.5830353067334961,0.5292409393356687,0.5715555555555556,0.5066547333143816,0.8950899676073588,1129.7556051536715,5,0.501382545860398,,,,0.0,
F7,A1,2026,9,268,0.07,5,0.0,0.4458992453126901,0.5850191456681962,0.5830353067334961,0.5292409393356687,0.5715555555555556,0.5066547333143816,0.8950899676073588,1129.7556051536712,5,0.501382545860398,,,,0.0,
F7,A3,7,9,268,10.79,5,0.0,0.45861952930644756,0.5919492242128365,0.5900149710308454,0.5285872072926614,0.5671111111111111,0.735910177230835,0.39696904769151886,4619.7216796875,5,0.7241544127464294,,,,0.0,8.0
F7,A3,42,9,268,10.86,5,0.0,0.5394770731894981,0.6499158911582066,0.6482682804829876,0.6073289344341519,0.6417777777777778,0.7373799085617065,0.4435938169346859,4853.7275390625,5,0.7345203161239624,,,,0.0,2.0
F7,A3,2026,9,268,10.92,5,0.0,0.4553816545784079,0.5867772098573624,0.58482388171611,0.525908260308308,0.5617777777777778,0.7327274084091187,0.3991007437722363,4272.52978515625,5,0.7198299765586853,,,,0.0,4.0
F11,A1,7,14,723,0.09,5,0.0,0.44605486598087685,0.5951353796222502,0.5932118007484548,0.543141437240853,0.5822222222222222,0.4816634291933743,1.2166909196932096,777.8411411169193,5,0.4742033184608749,,,,0.0,
F11,A1,42,14,723,0.08,5,0.0,0.5452773262051555,0.6791517891518744,0.677622222698116,0.6258107985113568,0.6648888888888889,0.4735501840596762,1.2305775157926473,765.719932497747,5,0.461729837113271,,,,0.0,
F11,A1,2026,14,723,0.08,5,0.0,0.44605486598087685,0.5951353796222502,0.5932118007484548,0.543141437240853,0.5822222222222222,0.4816634291933743,1.2166909196932096,777.8411411169194,5,0.474160686062599,,,,0.0,
F11,A3,7,14,723,10.83,5,0.0,0.45840835511312017,0.6002758438457584,0.5983762598028911,0.5423008513170771,0.584,0.6636562347412109,0.6235768301278246,2256.181640625,5,0.6557444930076599,,,,0.0,2.0
F11,A3,42,14,723,11.15,5,0.0,0.43657888882549833,0.5579117980662676,0.5558173734842263,0.5332899686975366,0.5768888888888889,0.6722463369369507,0.593679014685893,2418.579833984375,5,0.6563461422920227,,,,0.0,2.0
F11,A3,2026,14,723,11.02,5,0.0,0.40486501129778324,0.4984049052486649,0.4959827891463622,0.37867103798483015,0.45511111111111113,0.6384943723678589,0.8117963964666052,1119.26806640625,5,0.6285206079483032,,,,0.0,8.0
F13,A1,7,14,3211,0.09,5,0.0,0.44299914566726206,0.5919526468158305,0.5900115170784697,0.5407992868243646,0.5804444444444444,0.36264472766678046,1.318734560977489,593.1963680993678,5,0.3634275049771292,,,,0.0,
F13,A1,42,14,3211,0.09,5,0.0,0.4618364966816014,0.6039584923266174,0.6020749245755562,0.5640513060669746,0.6035555555555555,0.3612418215574097,1.310682067598099,594.0585152590909,5,0.3598741711746937,,,,0.0,
F13,A1,2026,14,3211,0.09,5,0.0,0.44299914566726206,0.5919526468158305,0.5900115170784697,0.5407992868243646,0.5804444444444444,0.36264472766678046,1.318734560977489,593.1963680993679,5,0.3634275049771292,,,,0.0,
F13,A3,7,14,3211,10.91,5,0.0,0.4484584698340134,0.567716212983462,0.5657728772746099,0.6404162431535978,0.6408888888888888,0.4722828269004822,0.8154768819315119,1286.081787109375,5,0.47440364956855774,,,,0.0,2.0
F13,A3,42,14,3211,11.37,5,0.0,0.4443196324925496,0.5624907826037187,0.5605258720217646,0.6350798792292806,0.6355555555555555,0.4852636158466339,0.7809118722296778,1320.70263671875,5,0.4887368679046631,,,,0.0,2.0
F13,A3,2026,14,3211,12.04,5,0.0,0.33031228231112725,0.4199295734256924,0.41730449912363987,0.4984049480650633,0.512,0.45934760570526123,0.7940122001153682,1053.8209228515625,5,0.46517327427864075,,,,0.0,2.0
F15,A1,7,14,3201,0.11,5,0.0,0.4446516945544584,0.5599981805517315,0.5580040478449543,0.6400525104237382,0.6346666666666667,0.2738291751777333,1.5161978877817566,617.8222942006184,5,0.2618348710884779,,,,0.0,
F15,A1,42,14,3201,0.09,5,0.0,0.4479194152712179,0.562827221913593,0.5608462756846327,0.6398595034897466,0.6337777777777778,0.2730870699928919,1.5192293314907213,617.1140849829943,5,0.26025445486815724,,,,0.0,
F15,A1,2026,14,3201,0.1,5,0.0,0.4446516945544584,0.5599981805517315,0.5580040478449543,0.6400525104237382,0.6346666666666667,0.2738291751777333,1.516197887781757,617.8222942006184,5,0.2618348710884779,,,,0.0,
F15,A3,7,14,3201,11.02,5,0.0,0.41407020960196056,0.5236646062838926,0.5215111046351949,0.6196645863237675,0.6151111111111112,0.49227941036224365,0.8163706782000133,1333.945068359375,5,0.49848634004592896,,,,0.0,2.0
F15,A3,42,14,3201,11.0,5,0.0,0.415720768121067,0.5293954977442749,0.5272678742637218,0.6222744043013877,0.6168888888888889,0.5170592665672302,0.7721207761405092,1475.125732421875,5,0.5201509594917297,,,,0.0,2.0
F15,A3,2026,14,3201,10.95,5,0.0,0.42315300992758453,0.5294454309257046,0.5273207599254708,0.6256562644846813,0.6195555555555555,0.4677353501319885,0.8150157491728642,990.3883056640625,5,0.4684727191925049,,,,0.0,8.0
