feature_subset,preprocessing,mode,seed,n_features,distinct_train_vectors,runtime_sec,selected_k,val_silhouette,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz
F0,group_balanced,forced_k5,42,19,3247,0.1,5,0.3882900726274351,5,0.0,0.40102662593579136,0.5403979750578403,0.5383383909339652,0.5756474786747641,0.5733333333333334,0.3863577956425171,1.1682476569589504,589.5129892798585
F0,group_balanced,forced_k5,2026,19,3247,0.11,5,0.3882900726274351,5,0.0,0.40102662593579136,0.5403979750578404,0.5383383909339653,0.5756474786747641,0.5733333333333334,0.3863577956425171,1.1682476569589504,589.5129892798586
F0,group_balanced_l2,natural,7,19,3247,0.73,6,0.4217976070799231,6,0.0,0.3836109966581694,0.5489003501901273,0.5464483745471818,0.5581164929180529,0.5404444444444444,0.41998743040304487,1.2236178534762374,602.8984674082195
F0,group_balanced_l2,natural,42,19,3247,0.7,6,0.4217976070799231,6,0.0,0.3836109966581694,0.5489003501901272,0.5464483745471816,0.5581164929180529,0.5404444444444444,0.41998743040304487,1.2236178534762374,602.8984674082195
F0,group_balanced_l2,natural,2026,19,3247,0.72,6,0.4217976070799231,6,0.0,0.3836109966581694,0.5489003501901272,0.5464483745471816,0.5581164929180529,0.5404444444444444,0.41998743040304487,1.2236178534762374,602.8984674082195
F0,group_balanced_l2,forced_k5,7,19,3247,0.1,5,0.41094889466806694,5,0.0,0.4103241822469407,0.5484096063814626,0.546386903328249,0.5794688459366684,0.5777777777777777,0.41103080964318434,1.1191757536440818,664.7512900437257
F0,group_balanced_l2,forced_k5,42,19,3247,0.1,5,0.41094889466806694,5,0.0,0.4103241822469407,0.5484096063814627,0.5463869033282492,0.5794688459366684,0.5777777777777777,0.41103080964318434,1.1191757536440818,664.7512900437257
F0,group_balanced_l2,forced_k5,2026,19,3247,0.1,5,0.41094889466806694,5,0.0,0.4103241822469407,0.5484096063814627,0.5463869033282492,0.5794688459366684,0.5777777777777777,0.41103080964318434,1.1191757536440818,664.7512900437257
F0,robust,natural,7,19,3247,0.74,3,0.5205318659466812,3,0.0,0.5175813071766101,0.6627975436587092,0.6618850483512613,0.43358719296148396,0.56,0.5263353864415116,0.7234224577423726,1465.6669290791754
F0,robust,natural,42,19,3247,0.75,3,0.5205318659466812,3,0.0,0.5175813071766101,0.6627975436587092,0.6618850483512613,0.43358719296148396,0.56,0.5263353864415116,0.7234224577423726,1465.6669290791756
F0,robust,natural,2026,19,3247,0.75,3,0.5205318659466812,3,0.0,0.5175813071766101,0.6627975436587092,0.6618850483512613,0.43358719296148396,0.56,0.5263353864415116,0.7234224577423726,1465.6669290791754
F0,robust,forced_k5,7,19,3247,0.11,5,0.5022650701444898,5,0.0,0.45510217366728634,0.6017261821283083,0.5997505431704376,0.46620185531282976,0.536,0.5027847906004148,0.893007705782446,1150.9372774622175
F0,robust,forced_k5,42,19,3247,0.11,5,0.5022650701444898,5,0.0,0.45510217366728634,0.6017261821283083,0.5997505431704376,0.46620185531282976,0.536,0.5027847906004148,0.893007705782446,1150.9372774622175
F0,robust,forced_k5,2026,19,3247,0.12,5,0.5022650701444898,5,0.0,0.45510217366728634,0.6017261821283083,0.5997505431704375,0.46620185531282976,0.536,0.5027847906004148,0.893007705782446,1150.9372774622175
F0,quantile_normal,natural,7,19,3247,0.75,3,0.3729415635443262,3,0.0,0.5083566676377805,0.6241548419431622,0.623143797100581,0.4302059067308079,0.5591111111111111,0.378744111567666,1.2618153851105787,529.4365495524834
F0,quantile_normal,natural,42,19,3247,0.74,3,0.3729415635443262,3,0.0,0.5083566676377805,0.6241548419431622,0.623143797100581,0.4302059067308079,0.5591111111111111,0.378744111567666,1.2618153851105787,529.4365495524835
F0,quantile_normal,natural,2026,19,3247,0.73,3,0.3729415635443262,3,0.0,0.5083566676377805,0.6241548419431622,0.623143797100581,0.4302059067308079,0.5591111111111111,0.378744111567666,1.2618153851105787,529.4365495524835
