feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F11,A2,43,14,723,108.61,7,0.34844444444444445,0.16668788693132316,0.3144060634551145,0.3093906197857157,0.36814350673956586,0.6653177738189697,0.6885960150041186,1260.578781911888,,0.6660441160202026,50.0,250.0,25.0,0.0,
F11,A2,44,14,723,104.81,7,0.33511111111111114,0.14816177371197603,0.28500074861146385,0.2797931414615696,0.3325315345696473,0.6364208459854126,0.7161532966554871,1231.9579130933291,,0.6438506841659546,50.0,250.0,25.0,0.0,
F11,A3,42,14,723,13.09,5,0.0,0.4373943872319801,0.5585493883822168,0.5564577349288241,0.5341809877193409,0.6715697646141052,0.5916666714893548,2404.2612355376746,5.0,0.6557137966156006,,,,0.0,2.0
F11,A3,43,14,723,10.53,4,0.0,0.48838112366907077,0.6169233635772182,0.615509748547722,0.56141362935911,0.6620275378227234,0.5850566240747997,2263.5798871017746,4.0,0.6518766283988953,,,,0.0,2.0
F11,A3,44,14,723,8.9,9,0.0,0.36837011082118737,0.5185789679656995,0.5147227993590675,0.5906987906899008,0.6590335369110107,0.5574434304832978,2971.8638089532446,9.0,0.6575459241867065,,,,0.0,2.0
F13,A1,42,14,3211,1.78,3,0.0,0.5153630546010856,0.6579791304980014,0.6570533491995917,0.43284140239950386,0.43060891640825716,1.0970847657437597,794.3669080331456,3.0,0.4375796231565849,,,,0.0,
F13,A1,43,14,3211,5.68,3,0.0,0.5153630546010856,0.6579791304980014,0.6570533491995917,0.43284140239950386,0.43060891640825716,1.0970847657437597,794.3669080331456,3.0,0.4375796231565849,,,,0.0,
F13,A1,44,14,3211,4.29,3,0.0,0.5153630546010856,0.6579791304980014,0.6570533491995917,0.43284140239950386,0.43060891640825716,1.0970847657437597,794.3669080331456,3.0,0.4375796231565849,,,,0.0,
F13,A2,42,14,3211,32.4,8,0.18755555555555556,0.21024077826756302,0.3443770929434962,0.3393064428658579,0.44602054309040584,0.6623075604438782,0.5650385774600271,952.5718540009176,,0.6550989151000977,50.0,250.0,5.0,0.0,
F13,A2,43,14,3211,32.27,11,0.11288888888888889,0.21805325912535473,0.3923806080142162,0.38633501955224453,0.43243162655262946,0.6364179849624634,0.551715204159517,834.8104284105427,,0.6385390162467957,50.0,250.0,5.0,0.0,
F13,A2,44,14,3211,32.1,20,0.22666666666666666,0.1036721262560659,0.3231538143929496,0.3116176702783812,0.30202196958622185,0.6511327028274536,0.5453696549571099,721.5163035757995,,0.6558485627174377,15.0,100.0,25.0,0.0,
F13,A3,42,14,3211,9.75,10,0.0,0.33928062701610867,0.5146212828054494,0.5105133970664977,0.5775534461896672,0.519899845123291,0.6899265608042853,1792.3411351661173,10.0,0.5100699067115784,,,,0.0,2.0
F13,A3,43,14,3211,9.66,6,0.0,0.3987740165176644,0.54256470240823,0.5400730141967732,0.6022896005471863,0.5245225429534912,0.7095196736042224,1486.5847041239924,6.0,0.5255107283592224,,,,0.0,2.0
F13,A3,44,14,3211,8.89,10,0.0,0.3392746654102057,0.5346176892767885,0.5306178432815861,0.5753833503141907,0.5216442942619324,0.6661662039072347,1571.7459180180476,10.0,0.5070195198059082,,,,0.0,2.0
F15,A1,42,14,3201,1.86,2,0.0,0.3610757741530116,0.5504276216364192,0.5497252825887663,0.2322619545003973,0.4516208645319006,0.9324167395322792,1146.4715943448048,2.0,0.46163596270903257,,,,0.0,
F15,A1,43,14,3201,2.65,2,0.0,0.3610757741530116,0.5504276216364192,0.5497252825887663,0.2322619545003973,0.4516208645319006,0.9324167395322792,1146.4715943448048,2.0,0.46163596270903257,,,,0.0,
F15,A1,44,14,3201,0.96,2,0.0,0.3610757741530116,0.5504276216364192,0.5497252825887663,0.2322619545003973,0.4516208645319006,0.9324167395322792,1146.4715943448048,2.0,0.46163596270903257,,,,0.0,
F15,A2,42,14,3201,32.67,7,0.24888888888888888,0.1749684423133593,0.3295176570789819,0.3247780697363334,0.4337453615747983,0.6435604095458984,0.682333828371674,1024.28678232801,,0.6521267890930176,50.0,250.0,5.0,0.0,
F15,A2,43,14,3201,32.1,19,0.23822222222222222,0.1383369075660046,0.31348617290554565,0.30199147682652544,0.32404417759301996,0.5606259703636169,0.6971723034503393,366.8516807651867,,0.5899358987808228,15.0,100.0,25.0,0.0,
F15,A2,44,14,3201,32.59,20,0.2817777777777778,0.0902036516591092,0.29201042425484613,0.27954325086889537,0.2887438448990728,0.594618558883667,0.7017858523694251,507.561136306246,,0.5944554805755615,15.0,100.0,25.0,0.0,
F15,A3,42,14,3201,9.84,8,0.0,0.3379219395304661,0.48305398995992993,0.47949554086560126,0.5753764832864814,0.5663844347000122,0.5731947592524069,1888.5108886262349,8.0,0.575169026851654,,,,0.0,2.0
F15,A3,43,14,3201,9.44,10,0.0,0.3138972328624094,0.5022187306647725,0.49797809340691673,0.5383055761161221,0.564415454864502,0.6624665501874004,1995.3843387366815,10.0,0.5767902731895447,,,,0.0,2.0
F15,A3,44,14,3201,9.01,10,0.0,0.3372441326127405,0.5192318136917922,0.5151607594157205,0.5455930497511929,0.6182841062545776,0.5317754554190727,2512.9294754729012,10.0,0.6158511638641357,,,,0.0,2.0
